Lipid,Mean_WT,Normalized_WT,Mean_KO,Normalized_KO,Mean_DKO,Normalized_DKO,Max_Val,Min_Val
CE 18:1,616.5231291625176,0.0,853.9568044421635,1.0,705.2190289247056,0.37356074136376516,853.9568044421635,616.5231291625176
CE 18:2,109366.22102104427,0.6190718011429864,120660.02725872106,1.0,91011.90388123367,0.0,120660.02725872106,91011.90388123367
CE 18:3,4258.499514185086,0.5940968498634055,4671.2775053856685,1.0,3654.3403590203975,0.0,4671.2775053856685,3654.3403590203975
CE 20:3,14166.153427790206,1.0,11162.740205087994,0.0,12749.594897363302,0.5283504381883201,14166.153427790206,11162.740205087994
CE 20:4,598816.8973158874,1.0,563434.7045164164,0.6408858085967509,500290.59663917497,0.0,598816.8973158874,500290.59663917497
CE 22:6,98653.90980012268,0.9400106822828931,99349.1119543332,1.0,87760.34614291153,0.0,99349.1119543332,87760.34614291153
Cer d34:1,0.0924970829404999,0.0,0.10105541765046995,1.0,0.0991467214546993,0.7769780850534964,0.10105541765046995,0.0924970829404999
Cer d38:1,0.08777183133095204,0.8454957397323561,0.08866818972358428,1.0,0.08286667725344588,0.0,0.08866818972358428,0.08286667725344588
Cer d40:1,0.7572253612772234,1.0,0.44816598895120935,0.0,0.6908611810485621,0.7852704490752137,0.7572253612772234,0.44816598895120935
Cer d40:2,0.11348582045163991,1.0,0.05633468387940134,0.0,0.10468752523650429,0.846052139242854,0.11348582045163991,0.05633468387940134
Cer d41:1,0.12350081484723192,0.8067348983845394,0.08029961346631545,0.0,0.13385029221769398,1.0,0.13385029221769398,0.08029961346631545
Cer d42:0,0.0857288684794276,1.0,0.06918355210526278,0.0,0.07567688455503072,0.3924574364686762,0.0857288684794276,0.06918355210526278
Cer d42:1,0.23368552812384885,0.6121866526868783,0.18602899342348542,0.0,0.26387540593705394,1.0,0.26387540593705394,0.18602899342348542
Cer d42:2,0.44546942148669055,0.36571036459483686,0.3540996996321843,0.0,0.6039414615842497,1.0,0.6039414615842497,0.3540996996321843
DAG 32:0,0.5703396495467196,1.0,0.5374250725670405,0.7609019848332027,0.4326782099203075,0.0,0.5703396495467196,0.4326782099203075
DAG 32:1,0.2687803476094065,1.0,0.20857778493842852,0.11754350154088956,0.20055878340074593,0.0,0.2687803476094065,0.20055878340074593
DAG 34:1,3.171488774026301,1.0,2.5630870834571313,0.24498021688482102,2.365679834744034,0.0,3.171488774026301,2.365679834744034
DAG 36:2,3.7868517956729613,1.0,3.414857703021413,0.0,3.4441410219233584,0.07871984926754018,3.7868517956729613,3.414857703021413
DAG 36:3,4.233424254548296,1.0,4.0810606597687595,0.5536619830312511,3.8920605593508864,0.0,4.233424254548296,3.8920605593508864
DAG 36:4,2.033880324994363,0.5923883500398596,2.1026933194420305,1.0,1.9338733299878608,0.0,2.1026933194420305,1.9338733299878608
DAG 38:4,0.18746259331174264,1.0,0.16931973281249937,0.5695490563929253,0.1453140958611145,0.0,0.18746259331174264,0.1453140958611145
DAG 38:5,1.1834712627952593,1.0,0.9981459620890538,0.0,1.0567030197729812,0.31596904179185636,1.1834712627952593,0.9981459620890538
DAG 40:7,0.12268627004949662,0.0,0.20620851220196618,0.5169721479511037,0.2842466993366258,1.0,0.2842466993366258,0.12268627004949662
DAG 40:8,0.8187379195359783,0.0,1.015088293909437,1.0,0.8767511893814741,0.29545790289737106,1.015088293909437,0.8187379195359783
LPC 14:0,0.5215617804052776,0.0,0.5712887882911672,0.49951673986403006,0.6211120134954149,1.0,0.6211120134954149,0.5215617804052776
LPC 15:0,0.6935702584140562,0.0,0.7184568912739222,0.9307119986257165,0.7203096073174908,1.0,0.7203096073174908,0.6935702584140562
LPC 16:0,266.85048083076765,0.17856480875456168,257.4227833303007,0.0,310.21984657149824,1.0,310.21984657149824,257.4227833303007
LPC 16:1,3.878253757983546,0.12099449467207005,3.723237084851574,0.0,5.004424907091851,1.0,5.004424907091851,3.723237084851574
LPC 17:0,4.66852426143414,0.9927227550495373,4.228933746485098,0.0,4.671746719908988,1.0,4.671746719908988,4.228933746485098
LPC 17:1,0.5789275439709224,0.0,0.5810026121627462,0.02182200228789218,0.6740181852625848,1.0,0.6740181852625848,0.5789275439709224
LPC 18:0,307.91506808177036,0.6668259091066886,253.9766111365847,0.0,334.8649752636537,1.0,334.8649752636537,253.9766111365847
LPC 18:1,69.08780778436152,0.1422382212244835,66.4751085299098,0.0,84.84358383816252,1.0,84.84358383816252,66.4751085299098
LPC 18:2,166.1996052154359,0.6906015902911827,149.66084841739683,0.0,173.60918133546284,1.0,173.60918133546284,149.66084841739683
LPC 20:0,4.543555545767617,1.0,3.886519117867171,0.0,4.232940033200423,0.5272476541981649,4.543555545767617,3.886519117867171
LPC 20:1,3.6996894727812544,0.3784853995494454,3.386973414163287,0.0,4.213203591047862,1.0,4.213203591047862,3.386973414163287
LPC 20:3,12.8209443085424,0.5255656529235951,10.24440230486585,0.0,15.146819328017699,1.0,15.146819328017699,10.24440230486585
LPC 20:4,70.58838502120274,0.46486168114713367,63.6072177187442,0.0,78.62494790728371,1.0,78.62494790728371,63.6072177187442
LPC 22:4,0.6611030923374561,0.0,0.7168300677847388,0.42864631493405325,0.791109984980068,1.0,0.791109984980068,0.6611030923374561
LPC 22:5,2.4089751965462662,0.002199921357371022,2.408262316028045,0.0,2.732310498856255,1.0,2.732310498856255,2.408262316028045
LPC 22:6,28.097366522091537,0.0,30.187593414288237,0.2819874881644866,35.50984750060022,1.0,35.50984750060022,28.097366522091537
LPC O-16:0,1.5205004296705282,0.0,1.725098192490613,1.0,1.5844447211557786,0.3125366113679379,1.725098192490613,1.5205004296705282
LPC O-16:1,0.2712391702231156,0.47547114597057955,0.24743454358965658,0.0,0.29749988790170023,1.0,0.29749988790170023,0.24743454358965658
LPC O-18:0,0.5737360027406211,0.0,0.6959404010366392,1.0,0.6033182031353118,0.2420714868464323,0.6959404010366392,0.5737360027406211
LPC O-18:1,0.8336603999421772,0.0,1.0295485358627374,1.0,0.9959751728570769,0.8286095130371973,1.0295485358627374,0.8336603999421772
LPE 16:0,2.3416335357463036,0.0,2.7501781539677173,0.9482113163709266,2.7724917328252308,1.0,2.7724917328252308,2.3416335357463036
LPE 18:0,5.119967641936162,0.1961170267039527,4.91768625667899,0.0,5.94911829833708,1.0,5.94911829833708,4.91768625667899
LPE 18:1,2.64639449730045,0.5632028947050716,2.588996931685251,0.0,2.6909096990996586,1.0,2.6909096990996586,2.588996931685251
LPE 18:2,6.78860274348234,1.0,6.747184442088095,0.9127351636029186,6.31397512594142,0.0,6.78860274348234,6.31397512594142
LPE 20:3,1.434626577851894,0.5379189116472736,1.2139076841300898,0.0,1.6242276950884236,1.0,1.6242276950884236,1.2139076841300898
LPE 20:4,7.521154527215627,0.31162327163664405,7.307459924774409,0.0,7.99320653579898,1.0,7.99320653579898,7.307459924774409
LPE 22:6,4.324436943010121,0.0,5.165782216763051,0.5744772241544926,5.788977639103356,1.0,5.788977639103356,4.324436943010121
PC 30:0,1.22458937255825,0.011862096460945463,1.3788911011957654,1.0,1.2227370582379173,0.0,1.3788911011957654,1.2227370582379173
PC 32:0,27.08069269939063,0.0,28.381210800597213,0.49251313703672644,29.721268154963916,1.0,29.721268154963916,27.08069269939063
PC 32:1,10.921527312008509,0.2965333363710903,10.228771385755602,0.0,12.564953667082557,1.0,12.564953667082557,10.228771385755602
PC 32:3,0.13031418095588154,1.0,0.12314716181774786,0.5501121506288522,0.11438350145842073,0.0,0.13031418095588154,0.11438350145842073
PC 33:0,0.7929203898297925,0.7294443514436372,0.7996941789525212,1.0,0.7746575953185354,0.0,0.7996941789525212,0.7746575953185354
PC 33:1,2.9366750748106463,0.09810660049291235,2.888269514087073,0.0,3.3816671089519588,1.0,3.3816671089519588,2.888269514087073
PC 34:0,12.732077068022855,0.8206367239104789,11.817738708112028,0.0,12.931920334732201,1.0,12.931920334732201,11.817738708112028
PC 34:1,239.92184276226675,0.16731351774474243,231.02499471311106,0.0,284.19970629098214,1.0,284.19970629098214,231.02499471311106
PC 34:2,883.7477242440518,0.9346254086320986,786.0174641270313,0.0,890.5836991281285,1.0,890.5836991281285,786.0174641270313
PC 34:3,14.519237032420774,0.1737490428927225,12.796919089804355,0.0,22.70959494655613,1.0,22.70959494655613,12.796919089804355
PC 34:4,1.3889031092124258,0.790984325084251,1.1757089392380509,0.0,1.4452391476295594,1.0,1.4452391476295594,1.1757089392380509
PC 34:5,0.3258111635425378,0.4008447307839594,0.30526903258288385,0.0,0.35651613496958184,1.0,0.35651613496958184,0.30526903258288385
PC 35:2,16.99114613500099,1.0,15.477718528280008,0.14454501573668632,15.221996811469618,0.0,16.99114613500099,15.221996811469618
PC 35:5,0.8236937763000112,0.0,0.8368244352786808,0.11423642493225165,0.9386366151227141,1.0,0.9386366151227141,0.8236937763000112
PC 36:0,1.8290121958043772,0.7889437453703116,1.5711881158897356,0.0,1.8979846478701305,1.0,1.8979846478701305,1.5711881158897356
PC 36:1,79.50151975795471,0.6269423153809549,71.12811246172761,0.0,84.48405780278995,1.0,84.48405780278995,71.12811246172761
PC 36:2,799.7053412289148,1.0,718.7594429468021,0.0,763.1926324316897,0.5489245338908842,799.7053412289148,718.7594429468021
PC 36:3,240.9768615689838,0.8409881759403351,214.79513834278134,0.0,245.92723267565094,1.0,245.92723267565094,214.79513834278134
PC 36:4,503.7966183286587,0.8653482239509162,405.52746648679107,0.0,519.0877063093225,1.0,519.0877063093225,405.52746648679107
PC 36:6,0.608546518456144,0.633089736740718,0.5300703598657224,0.0,0.6540277612199661,1.0,0.6540277612199661,0.5300703598657224
PC 37:1,0.6661440502264925,1.0,0.5810523084264309,0.0,0.6144374741039482,0.39234319302056164,0.6661440502264925,0.5810523084264309
PC 37:4,12.247159204219177,1.0,10.025425307159383,0.0,10.95973194455652,0.4205303968371654,12.247159204219177,10.025425307159383
PC 37:6,3.7048827755976497,0.9065236925712793,3.019021246480167,0.0,3.7756054755940176,1.0,3.7756054755940176,3.019021246480167
PC 38:1,1.5247335698434366,0.9103934244970332,1.2863004167313177,0.0,1.5482016417361517,1.0,1.5482016417361517,1.2863004167313177
PC 38:2,12.698183250633948,1.0,10.47372146542939,0.0,12.622442024685819,0.9659507632579252,12.698183250633948,10.47372146542939
PC 38:3,67.0245724111628,0.8954541887383706,43.82442488890324,0.0,69.73322939731351,1.0,69.73322939731351,43.82442488890324
PC 38:4,449.45571451666814,1.0,334.1722847455694,0.0,434.57330101535115,0.8709058749304492,449.45571451666814,334.1722847455694
PC 38:5,103.83222998811975,0.8623494163161731,89.86435643640942,0.0,106.06182035002692,1.0,106.06182035002692,89.86435643640942
PC 38:6,315.7056519178482,0.7726729758384902,274.4760004038151,0.0,327.8357694177261,1.0,327.8357694177261,274.4760004038151
PC 39:3,0.42918130633073537,1.0,0.274748946150421,0.0,0.3804535672638282,0.6844719655257943,0.42918130633073537,0.274748946150421
PC 39:4,3.7445131387623576,1.0,2.917938104457379,0.0,3.090386976469959,0.2086306322541944,3.7445131387623576,2.917938104457379
PC 39:5,0.6711382496275198,1.0,0.5679864145513824,0.0,0.6629444699368825,0.9205658369083849,0.6711382496275198,0.5679864145513824
PC 39:6,5.359912553454525,1.0,4.258199800067638,0.0,4.959499598034729,0.6365541252119976,5.359912553454525,4.258199800067638
PC 40:5,8.573241077964544,0.294714016517902,7.11970148211767,0.0,12.051735638554138,1.0,12.051735638554138,7.11970148211767
PC 40:6,86.69996981631783,0.6728221192689864,71.99922755714182,0.0,93.84860176491638,1.0,93.84860176491638,71.99922755714182
PC O-32:0,1.1396666713163692,0.0,1.2476552984650797,1.0,1.1420506883246975,0.02207655631222376,1.2476552984650797,1.1396666713163692
PC O-32:1,0.3130823287496586,1.0,0.26560640799939317,0.0,0.2793141090287334,0.2887295456879282,0.3130823287496586,0.26560640799939317
PC O-34:0,0.16485164128585944,0.0,0.18212121507504697,1.0,0.16752263636628173,0.15466479445454512,0.18212121507504697,0.16485164128585944
PC O-34:1,4.490761678046843,0.0,4.940967745681486,0.7038394068264916,5.130404845604846,1.0,5.130404845604846,4.490761678046843
PC O-34:2,1.9818051614441523,0.9153067683885926,1.9941362164202912,1.0,1.8485395171147712,0.0,1.9941362164202912,1.8485395171147712
PC O-34:3,1.1937951527212816,0.7693694681654317,0.9653623358524711,0.0,1.2622714625084983,1.0,1.2622714625084983,0.9653623358524711
PC O-36:1,0.45815604394868725,1.0,0.39253039343652363,0.13923210989317175,0.3819152230881194,0.0,0.45815604394868725,0.3819152230881194
PC O-36:2,1.2600542830238013,1.0,1.1303616104216043,0.0,1.1584644710474608,0.2166881140005158,1.2600542830238013,1.1303616104216043
PC O-36:4,6.6581642105158965,0.0,7.7996225872148806,1.0,7.115483158678154,0.4006444365363471,7.7996225872148806,6.6581642105158965
PC O-36:5,4.0733610357221295,0.7302667205889818,3.4622086550653073,0.0,4.299097922268816,1.0,4.299097922268816,3.4622086550653073
PC O-38:2,0.5363081598888394,1.0,0.4042419175797443,0.0,0.4589669075292212,0.4143753088801869,0.5363081598888394,0.4042419175797443
PC O-38:3,0.1541478998587994,1.0,0.1333546537127219,0.15155641207733103,0.1296403822794778,0.0,0.1541478998587994,0.1296403822794778
PC O-38:4,3.008736601106531,0.5769793308429243,3.0643468925391923,1.0,2.9328869060958063,0.0,3.0643468925391923,2.9328869060958063
PC O-38:5,7.34630154684099,0.0,8.730125102806605,1.0,7.863167550958556,0.37350571313038766,8.730125102806605,7.34630154684099
PC O-38:6,2.7317837103955047,0.13897521073333902,2.888361360487695,1.0,2.7065110211663983,0.0,2.888361360487695,2.7065110211663983
PC O-40:4,1.048181731768673,1.0,0.8986233889209896,0.26717210206951786,0.8440978762412857,0.0,1.048181731768673,0.8440978762412857
PC O-40:5,0.7406042942017947,0.6842262459040821,0.797290682145829,1.0,0.6177748509256844,0.0,0.797290682145829,0.6177748509256844
PC O-40:6,0.8656497069611375,0.8348003542217809,0.8769477111174344,1.0,0.8085577088079592,0.0,0.8769477111174344,0.8085577088079592
PC O-40:7,1.364262893153174,0.0,1.726332455955771,1.0,1.5419716387069307,0.49081382090834536,1.726332455955771,1.364262893153174
PC O-42:5,0.27243664468051276,1.0,0.22210366864534517,0.04746346685091344,0.21959565193793865,0.0,0.27243664468051276,0.21959565193793865
PE 33:1,0.17869841850984647,0.0,0.19556901529786846,0.5798114670897435,0.20779511242778645,1.0,0.20779511242778645,0.17869841850984647
PE 34:1,0.24288358195264464,0.0,0.3251481827981307,1.0,0.2899704264057471,0.5723828228564993,0.3251481827981307,0.24288358195264464
PE 34:2,1.132348901158518,1.0,1.116762265312682,0.8765853557152884,1.0060540361028099,0.0,1.132348901158518,1.0060540361028099
PE 35:3,0.2785266522251615,1.0,0.2683388010719222,0.6724328485238479,0.2474250869206777,0.0,0.2785266522251615,0.2474250869206777
PE 36:0,1.7638400991653487,0.649583443447135,1.7965469360906923,1.0,1.7032099167241164,0.0,1.7965469360906923,1.7032099167241164
PE 36:2,6.225308502441746,1.0,5.684796996428192,0.4596730289615195,5.224966977800252,0.0,6.225308502441746,5.224966977800252
PE 36:4,1.5535803300036044,0.0,1.6189156252176677,0.44144426256705116,1.701583828416135,1.0,1.701583828416135,1.5535803300036044
PE 37:4,2.731174660709244,0.0,2.8926047306810654,0.5526405172675324,3.023281491330339,1.0,3.023281491330339,2.731174660709244
PE 38:4,6.658777728289533,1.0,5.755309423251256,0.0,6.496282830678959,0.820143222839799,6.658777728289533,5.755309423251256
PE 38:5,2.1428951977404345,0.0,2.224095779511093,0.34532128349679453,2.378040222537067,1.0,2.378040222537067,2.1428951977404345
PE 38:6,2.8694563620471873,0.2694012484701104,3.1386183501234273,1.0,2.7702054729968117,0.0,3.1386183501234273,2.7702054729968117
PE 40:4,2.478136796987455,0.4046049754018201,2.3678877392301985,0.0,2.6403734091055284,1.0,2.6403734091055284,2.3678877392301985
PE O-34:3,0.37313459647603425,1.0,0.29827289861279405,0.0,0.34621599909850603,0.6404222967704527,0.37313459647603425,0.29827289861279405
PE O-36:2,0.2126882032037075,1.0,0.1424641261658463,0.0,0.16681047528714507,0.34669518131470034,0.2126882032037075,0.1424641261658463
PE O-36:5,2.974859242841908,1.0,2.551804005499566,0.0,2.8342838317507075,0.6677138144552863,2.974859242841908,2.551804005499566
PE O-38:4,2.289214373676097,1.0,1.8071502978851646,0.0,1.905574611292075,0.20417267817649282,2.289214373676097,1.8071502978851646
PE O-38:5,2.932640539471631,1.0,2.070265835615018,0.0,2.5959620199190043,0.6095913782640286,2.932640539471631,2.070265835615018
PE O-38:6,4.384019637116918,1.0,3.9847985954410223,0.344246064399488,3.7752226173776378,0.0,4.384019637116918,3.7752226173776378
PE O-38:7,2.599968548258683,1.0,2.3976212862728965,0.0,2.5871211384870056,0.9365081116215955,2.599968548258683,2.3976212862728965
PE O-40:6,2.5257067194000222,1.0,2.1321254654999886,0.0,2.2219603026568375,0.22824978645874794,2.5257067194000222,2.1321254654999886
PI 36:4,96.92465934231359,1.0,67.8389205906692,0.0,79.89054899761183,0.41434836879504316,96.92465934231359,67.8389205906692
PI 36:5,134.6059403969054,1.0,100.61397654321894,0.0,115.96538064285339,0.45161862861799845,134.6059403969054,100.61397654321894
PI 38:4,447.28246380167207,1.0,325.9797675223564,0.0,436.8329915995685,0.913856224778036,447.28246380167207,325.9797675223564
PI 38:5,15.753512425501539,0.4484854923814774,14.338108156406632,0.0,17.494072603726988,1.0,17.494072603726988,14.338108156406632
PS 34:0,12.590890459236315,0.21659207622541665,12.524857761380476,0.0,12.829729015244425,1.0,12.829729015244425,12.524857761380476
PS 36:0,15.441408689815376,0.0,16.93779076720744,1.0,15.645073243296304,0.13610464637205547,16.93779076720744,15.441408689815376
PS 36:1,2.3461211210299444,1.0,2.235455136278575,0.3600831915872878,2.1731830401786665,0.0,2.3461211210299444,2.1731830401786665
PS 36:3,10.104516195634304,0.9922639539336665,9.733533496700945,0.0,10.107408509959926,1.0,10.107408509959926,9.733533496700945
PS 40:7,2.6331443488939272,0.10825440304809723,3.074832968034494,1.0,2.5795250902604816,0.0,3.074832968034494,2.5795250902604816
PS 41:5,20.265268297042628,0.6413545957097146,18.83267278062322,0.0,21.066375518551084,1.0,21.066375518551084,18.83267278062322
PS 41:6,196.33492891038776,0.0,212.51290089116236,0.6480648688193229,221.29843605165348,1.0,221.29843605165348,196.33492891038776
PS 41:7,590.4231626742537,1.0,563.2740500392963,0.0,584.0215409208715,0.7642051200914977,590.4231626742537,563.2740500392963
PS 42:6,5.201344896051406,0.18045138197660945,5.133330884239238,0.0,5.5102413355040785,1.0,5.5102413355040785,5.133330884239238
PS 42:7,21.46292466626078,1.0,20.0605193045404,0.33011543479367567,19.369421644156606,0.0,21.46292466626078,19.369421644156606
SM d32:1,1.4899180089524755,1.0,1.3128627458310795,0.0,1.4572023745185614,0.8152235982305536,1.4899180089524755,1.3128627458310795
SM d32:2,0.07936907935782667,1.0,0.06259933268851402,0.0,0.06511533492133864,0.15003221470415623,0.07936907935782667,0.06259933268851402
SM d33:1,2.8276903336313923,1.0,2.457237429046277,0.0,2.6377303613163217,0.48722234334263304,2.8276903336313923,2.457237429046277
SM d34:0,1.628394012047585,1.0,1.4186374264220953,0.20030327042117296,1.3660988470592759,0.0,1.628394012047585,1.3660988470592759
SM d34:1,47.11222885765093,0.9515179475194289,41.91026477277532,0.0,47.37728102658003,1.0,47.37728102658003,41.91026477277532
SM d34:2,7.869564209337753,1.0,6.44614080402388,0.0,6.501627047091925,0.03898084214500458,7.869564209337753,6.44614080402388
SM d35:1,0.6486223854631892,1.0,0.6055009017287338,0.0,0.6255315180575948,0.46451593484608883,0.6486223854631892,0.6055009017287338
SM d36:0,0.06855357623429666,1.0,0.0391308381843169,0.06647708633062585,0.03703561602234153,0.0,0.06855357623429666,0.03703561602234153
SM d36:1,4.305774803386361,1.0,3.486343034903756,0.0,4.024180710209722,0.6563544348566254,4.305774803386361,3.486343034903756
SM d36:2,2.0122713212508607,1.0,1.3157516235164994,0.0,1.641326706708621,0.46743126468806545,2.0122713212508607,1.3157516235164994
SM d37:1,0.26907198010355987,1.0,0.20411972051137026,0.0,0.21602932170044392,0.18335930518583177,0.26907198010355987,0.20411972051137026
SM d38:1,3.341627893742478,1.0,2.7022169312135094,0.0,3.004406624838592,0.47260636950901774,3.341627893742478,2.7022169312135094
SM d38:2,1.7774390668343238,1.0,1.3911201213097948,0.0,1.3979206608915862,0.017603432760870362,1.7774390668343238,1.3911201213097948
SM d39:1,1.3381601353883725,1.0,1.025167177165535,0.2703638305410238,0.9091888599444466,0.0,1.3381601353883725,0.9091888599444466
SM d40:1,15.752332913304253,1.0,13.723751839286082,0.2540183985490817,13.032988267172735,0.0,15.752332913304253,13.032988267172735
SM d40:2,7.902225908911191,1.0,6.19704679369594,0.0,6.594659072667062,0.23317918652840722,7.902225908911191,6.19704679369594
SM d41:1,2.2504393395958973,1.0,1.988517942251887,0.4309498529659413,1.7901611045244041,0.0,2.2504393395958973,1.7901611045244041
SM d41:2,2.208926311263604,1.0,1.959994273309181,0.07720534960481111,1.9391674457914025,0.0,2.208926311263604,1.9391674457914025
SM d42:1,3.2534650669143486,1.0,3.0950300304810416,0.579390557632726,2.876785371989758,0.0,3.2534650669143486,2.876785371989758
SM d42:2,18.406119210284476,0.0,19.710610165238318,0.8775027621183099,19.892713909775534,1.0,19.892713909775534,18.406119210284476
TAG 40:0,0.08861798766734269,0.0,0.14527792806649664,1.0,0.09596003395993728,0.12958090391327387,0.14527792806649664,0.08861798766734269
TAG 42:0,0.21004766679476525,0.9865212140801346,0.2106931923757515,1.0,0.16280122459586083,0.0,0.2106931923757515,0.16280122459586083
TAG 44:0,0.3790756563134805,0.4751217351293811,0.4210197938776218,1.0,0.3411076687785183,0.0,0.4210197938776218,0.3411076687785183
TAG 44:1,0.37877464028849755,1.0,0.3675346925926771,0.8623487742353202,0.29711937253929815,0.0,0.37877464028849755,0.29711937253929815
TAG 46:0,1.9502942476055072,1.0,1.9255745123132675,0.932102364739489,1.5862206654049706,0.0,1.9502942476055072,1.5862206654049706
TAG 46:1,1.0837188912921243,1.0,1.0766341952284502,0.9618777077310166,0.897877598914271,0.0,1.0837188912921243,0.897877598914271
TAG 46:2,0.839178216178093,1.0,0.7785747131219518,0.6789075023232988,0.6504366432835401,0.0,0.839178216178093,0.6504366432835401
TAG 46:4,12.498966740801173,1.0,11.42164553127944,0.59534870331614,9.836622103948553,0.0,12.498966740801173,9.836622103948553
TAG 48:0,2.5413365662171508,1.0,2.330958651557304,0.4740855675945144,2.1413134793860915,0.0,2.5413365662171508,2.1413134793860915
TAG 48:1,6.888084261875717,1.0,6.350859199578835,0.0,6.35969230275892,0.016442090661815876,6.888084261875717,6.350859199578835
TAG 48:2,4.252654309759718,1.0,3.824999570661655,0.0,3.9316996231788908,0.24950045623782766,4.252654309759718,3.824999570661655
TAG 48:3,1.3855335645602278,1.0,1.320055033395181,0.588668452428742,1.2263468171500904,0.0,1.3855335645602278,1.2263468171500904
TAG 49:1,1.03757867746932,0.0,1.10965612286024,1.0,1.106501433810119,0.9562319525475513,1.10965612286024,1.03757867746932
TAG 49:3,0.41950771992875613,1.0,0.3356637585329669,0.22764315555068707,0.3109517305588819,0.0,0.41950771992875613,0.3109517305588819
TAG 50:0,2.8130297403881857,1.0,2.711145795353998,0.721860266036652,2.446724849021555,0.0,2.8130297403881857,2.446724849021555
TAG 50:1,40.86590262305278,1.0,34.31161294367631,0.0,35.419802225064046,0.16907847159620235,40.86590262305278,34.31161294367631
TAG 50:2,53.96076131821958,1.0,48.3236884610004,0.0,53.50492747427296,0.9191364285166455,53.96076131821958,48.3236884610004
TAG 50:3,20.716756298320796,1.0,18.773782635264503,0.0,20.55045765478347,0.914410243072602,20.716756298320796,18.773782635264503
TAG 50:4,4.855666714260608,1.0,4.540920288543354,0.06582071064350638,4.518743781689425,0.0,4.855666714260608,4.518743781689425
TAG 51:1,1.1732306503520955,1.0,1.1528571184494512,0.8406076444731011,1.0454106439578357,0.0,1.1732306503520955,1.0454106439578357
TAG 51:2,5.507790458172973,0.8333420274494878,5.142196317082429,0.0,5.5809047093730175,1.0,5.5809047093730175,5.142196317082429
TAG 51:3,2.2580959327007895,1.0,2.188422065343421,0.3647613310258009,2.148414531425455,0.0,2.2580959327007895,2.148414531425455
TAG 51:4,0.8588542087396186,1.0,0.8290222452180881,0.6264716107235816,0.7789888909271772,0.0,0.8588542087396186,0.7789888909271772
TAG 52:0,1.3527751403140185,0.7530303661162973,1.4039692741569305,1.0,1.1966800903092547,0.0,1.4039692741569305,1.1966800903092547
TAG 52:1,20.240880441897215,0.49234075408583083,21.551216363336366,1.0,18.97008358187868,0.0,21.551216363336366,18.97008358187868
TAG 52:2,236.02550313849707,1.0,215.49133298029122,0.0,233.33786361429708,0.8691137989267143,236.02550313849707,215.49133298029122
TAG 52:3,186.36864413335286,0.4514554207599237,194.63920416771768,1.0,179.5619244946191,0.0,194.63920416771768,179.5619244946191
TAG 52:4,65.33451565575588,0.45128393195788313,71.4098750705914,1.0,60.3379204319873,0.0,71.4098750705914,60.3379204319873
TAG 53:2,1.8352298168327907,1.0,1.7921181697900295,0.6220893941072975,1.721150861729314,0.0,1.8352298168327907,1.721150861729314
TAG 53:3,4.642115872104144,1.0,4.274608603659895,0.0,4.299273355198684,0.06711364279460683,4.642115872104144,4.274608603659895
TAG 53:4,1.2427031474543702,1.0,1.219965964681048,0.7672857970896747,1.1449988282122658,0.0,1.2427031474543702,1.1449988282122658
TAG 54:2,16.689318693148678,0.0,17.90416309288085,1.0,17.14136696017558,0.3721038407277204,17.90416309288085,16.689318693148678
TAG 54:3,73.09860409242535,1.0,69.79969507021328,0.09936841355188589,69.43572009873574,0.0,73.09860409242535,69.43572009873574
TAG 54:4,84.15803542666106,1.0,83.3403006085942,0.8274436639781341,79.41909139876265,0.0,84.15803542666106,79.41909139876265
TAG 54:5,41.97941202667686,0.7237622972187016,44.0897833676067,1.0,36.45009001770706,0.0,44.0897833676067,36.45009001770706
TAG 54:6,33.92037842785057,1.0,32.77251000890248,0.2254351491609427,32.43842579637672,0.0,33.92037842785057,32.43842579637672
TAG 55:3,0.4427807677565878,0.0,0.4527429206468778,1.0,0.4516871484575752,0.8940216837736261,0.4527429206468778,0.4427807677565878
TAG 56:4,7.8725644553924425,0.5730448908892714,7.459335497672145,0.0,8.18044646871498,1.0,8.18044646871498,7.459335497672145
TAG 56:7,28.995482926307588,0.0,29.876925244278702,0.3292638604411353,31.672491926901188,1.0,31.672491926901188,28.995482926307588
TAG 58:8,8.600865621705182,0.0,8.861475359461839,0.15941022200115595,10.235702675973675,1.0,10.235702675973675,8.600865621705182
TAG 58:9,11.40082723514953,0.4494836282872046,10.454366842864268,0.0,12.560028390297774,1.0,12.560028390297774,10.454366842864268
